Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name
Caller,_RTC_CheckStackVars,Rot_Sub_Rcon_word,20,0.01,0.01,0,0,performance_analyzing.exe
Caller,_RTC_CheckStackVars,round_keys_generator,2,0,0,0,0,performance_analyzing.exe
Caller,_RTC_CheckStackVars,Tag_remover,1,0.01,0.01,0,0,performance_analyzing.exe
Caller,_RTC_CheckStackVars,zero_padding,2,0.02,0.02,0,0,performance_analyzing.exe
Root,_RTC_Initialize,_RTC_Initialize,1,0,0,0,0,performance_analyzing.exe
Caller,_RTC_Initialize,pre_c_initialization,1,0,0,0,0,performance_analyzing.exe
Root,_RTC_Terminate,_RTC_Terminate,1,0,0,0,0,performance_analyzing.exe
Caller,_RTC_Terminate,__scrt_common_main_seh,1,0,0,0,0,performance_analyzing.exe
Root,_vfprintf_l,_vfprintf_l,7,34.66,0.01,0.71,0,performance_analyzing.exe
Caller,_vfprintf_l,printf,7,34.66,0.01,0.71,0,performance_analyzing.exe
Callee,_vfprintf_l,__CheckForDebuggerJustMyCode,7,0,0,0,0,performance_analyzing.exe
Callee,_vfprintf_l,__local_stdio_printf_options,7,0,0,0,0,performance_analyzing.exe
Callee,_vfprintf_l,__stdio_common_vfprintf,7,34.64,34.64,0.71,0.71,ucrtbased.dll
Root,AESEncryption,AESEncryption,10,38.77,0.26,0.56,0,performance_analyzing.exe
Caller,AESEncryption,OCB_enc_dyc,6,23.01,0.11,0.55,0,performance_analyzing.exe
Caller,AESEncryption,OCB_init,4,15.76,0.15,0.56,0.01,performance_analyzing.exe
Callee,AESEncryption,__CheckForDebuggerJustMyCode,10,0,0,0,0,performance_analyzing.exe
Callee,AESEncryption,__security_check_cookie,10,0.01,0.01,0,0,performance_analyzing.exe
Callee,AESEncryption,_RTC_CheckStackVars,10,0.02,0.02,0,0,performance_analyzing.exe
Callee,AESEncryption,mixColumns,90,24.41,2.22,0.04,0,performance_analyzing.exe
Callee,AESEncryption,SubShiftRow,100,14.07,0.9,0.02,0,performance_analyzing.exe
Root,Array_1d_to_2d,Array_1d_to_2d,12,0.04,0.02,0,0,performance_analyzing.exe
Caller,Array_1d_to_2d,OCB_enc_dyc,10,0.02,0.02,0,0,performance_analyzing.exe
Caller,Array_1d_to_2d,OCB_init,2,0.02,0,0,0,performance_analyzing.exe
Callee,Array_1d_to_2d,__CheckForDebuggerJustMyCode,12,0.02,0.02,0,0,performance_analyzing.exe
Root,array_1d_to_str,array_1d_to_str,2,0.12,0.05,0.01,0,performance_analyzing.exe
Caller,array_1d_to_str,OCB_enc_dyc,2,0.12,0.05,0.01,0,performance_analyzing.exe
Callee,array_1d_to_str,__CheckForDebuggerJustMyCode,2,0,0,0,0,performance_analyzing.exe
Callee,array_1d_to_str,int_to_hex,64,0.07,0.03,0,0,performance_analyzing.exe
Root,Array_2d_to_1d,Array_2d_to_1d,12,0.02,0.02,0,0,performance_analyzing.exe
Caller,Array_2d_to_1d,OCB_enc_dyc,8,0.02,0.02,0,0,performance_analyzing.exe
Caller,Array_2d_to_1d,OCB_init,4,0,0,0,0,performance_analyzing.exe
Callee,Array_2d_to_1d,__CheckForDebuggerJustMyCode,12,0,0,0,0,performance_analyzing.exe
Root,atexit,atexit,1,0.11,0,0.02,0,performance_analyzing.exe
Caller,atexit,pre_c_initialization,1,0.11,0,0.02,0,performance_analyzing.exe
Callee,atexit,_onexit,1,0.11,0.11,0.02,0.02,performance_analyzing.exe
Root,ceil,ceil,2,0.07,0.07,0.01,0.01,ucrtbased.dll
Caller,ceil,L_Array_Length,2,0.07,0.07,0.01,0.01,performance_analyzing.exe
Root,ciphertext_blocks_to_str,ciphertext_blocks_to_str,2,0.2,0.07,0.01,0,performance_analyzing.exe
Caller,ciphertext_blocks_to_str,OCB_enc_dyc,2,0.2,0.07,0.01,0,performance_analyzing.exe
Callee,ciphertext_blocks_to_str,__CheckForDebuggerJustMyCode,2,0,0,0,0,performance_analyzing.exe
Callee,ciphertext_blocks_to_str,int_to_hex,136,0.13,0.05,0,0,performance_analyzing.exe
